,recipe_title,star_rating,rating_count,review_count,Prep Time,Cook Time,Total Time,Servings,Yield,writeup,ingr,steps,category,Additional Time,Chill Time,Marinate Time,Rest Time
0,World's Best Honey Garlic Pork Chops,4.4,(645),475,10 mins,15 mins,25 mins,6,6 servings,"When you're in need of a quick and easy dinner that the whole family will love, look no further than pork chops. This 5-star grilled pork chop recipe has reviewers' mouths watering thanks to the spectacular honey-garlic glaze — but the 25-minute fridge-to-table time is also a perk too. There might not be an actual award given to pork chops, but if there was, this 5-ingredient dish would surely win it thanks to the sauce alone. Reviewers rave about the ketchup, honey, soy sauce, and garlic glaze that is brushed onto the chops on the grill. In fact, many reviewers suggest marinating the pork chops in the glaze first, brushing them with more glaze on the grill, and making an extra batch of sauce to serve on the side for dipping because it's just that good. When the weather is nice, take your pork chops outside and throw them on the grill. Not only will they cook up quickly, but they'll also get the tasty grill marks that everyone loves. Grilling pork chops is incredibly simple, all you have to do is preheat your grill to medium heat and oil the grate. Then lightly brush the glaze over the chops and sear them on both sides until they are no longer pink in the middle. You'll want to grill your pork chops until they are no longer pink in the middle and reach an internal temperature of at least 145 degrees F (63 degrees C). The National Pork Board recommends about eight to 12 minutes for pork chops that are ¾-inch thick. However, every grill is different so it may take some grills longer while some may cook faster. In this recipe, you can use either boneless or bone-in pork chops. They typically take about the same amount of time to cook, so it's really up to personal preference or what's on sale at the grocery store this week. You will want to pay attention to the thickness of the pork chop, though. Thicker pork chops will take longer to cook, but they won't dry out as easily as thinner pork chops can on the grill. So, thicker pork chops are usually recommended for grilling. Yes! If you don't have a grill or the weather isn't looking that great, you can bake these pork chops instead. Reviewers tend to bake them at 350 degrees F for about 40-45 minutes, or until the internal temperature reaches 145 degrees F. Pork chops are so versatile that you can serve them with just about anything. But, if you need some inspiration, try one of these top-rated side dishes. Awesome and Easy Creamy Corn CasseroleFresh Mushroom Rice PilafRoasted Green BeansButternut Squash with Onions and Pecans If you want more recipe ideas, check out our collection of side dishes for pork chops. Store cooked pork chops in an airtight container or wrapped in aluminum foil in the refrigerator. If stored properly, leftover pork chops will last up to three to four days. ""How do you turn plain ol pork chops into something SPECIAL on a Sunday afternoon? You make THIS!! MY OH MY! I didn't have enough honey so I added a squirt of maple syrup and a few dashes of Chipotle hot sauce and about 5 garlic cloves! This sauce is CRAZY GOOD,"" raves Patty Cakes. ""I came across this recipe 3 weeks ago and have already made it twice. It is absolutely delicious. I baked it at 350 for 45 min and turned them over twice and coated both sides with the glaze each time. I served this with roasted potatoes and carrots and cheddar broccoli and cauliflower,"" says Good Karma. ""So good! We have 7 kiddos so finding good meals that they also enjoy is pretty challenging. This one was a hit with the whole family. Saved for several future dinners,"" according to Jordyn Day. Editorial contributions by Bailey Fink ","['½ cup ketchup', '2 ⅔ tablespoons honey', '2 tablespoons low-sodium soy sauce', '2 cloves garlic, crushed', '6 (4 ounce) (1-inch thick) pork chops']","['Preheat grill for medium heat and lightly oil the grate.', 'Whisk ketchup, honey, soy sauce, and garlic together in a bowl to make a glaze.', 'Sear the pork chops on both sides on the preheated grill. Lightly brush glaze onto each side of the chops as they cook; grill until no longer pink in the center, about 7 to 9 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).']",5-ingredient-main-dishes,,,,
1,Pan-Seared Tilapia,4.7,(789),560,5 mins,10 mins,15 mins,4,4 fillets,"If you're looking for an easy weeknight dinner that comes together quickly, we've got you covered with this top-rated tilapia recipe. This pan-seared tilapia couldn't be simpler to make in just 15 minutes. Tilapia is a freshwater white fish with a pleasantly flaky texture and mild flavor. It's one of the most popular types of fish in the United States because it's inexpensive, easy to find, and easy to prepare. There are plenty of delicious ways to season tilapia, but we're partial to the flavors found in this recipe: salt, pepper, lemon juice, flat-leaf parsley, and fresh thyme. If you want to spice things up a bit, try adding garlic and/or cayenne pepper. You'll find the full, step-by-step recipe below — but here's what you can expect when you make this top-rated pan-seared tilapia: Season the tilapia on both sides with salt and pepper. Place flour in a shallow dish, then press each filet into the flour and shake off any excess. Heat olive oil in a skillet and sear tilapia on both sides until it flakes easily with a fork. Brush the filets with melted butter, remove from the skillet, drizzle with lemon juice, and garnish with herbs. Tilapia cooks relatively quickly on the stove — this recipe will be ready in about eight minutes (four minutes of cooking on each side). This pan-seared tilapia has a mild flavor, so it's easy to pair with just about anything. In need of a little inspiration? Try one of these simple side dishes to serve with tilapia: Roasted Garlic Lemon BroccoliOven-Roasted AsparagusOven-Roasted PotatoesGourmet Mushroom RisottoClassic Restaurant Caesar Salad Explore our entire collection of Side Dish Recipes. ""My family LOVED IT,"" raves Angel Black. ""It was my first time making this and I wanted to do something different. I did add the old bay and also some onion powder and garlic salt. It was delicious. I made it with baked sweet potato and broccoli. Will definitely make this again. Awesome recipe!!!"" ""Fast, easy, and tasty way to prepare fish,"" according to Allrecipes Allstar Tammy Lynn. ""I'll use this method again. Of course you can season it however you want: I used seasoned salt and black pepper on the fish. Instead of melting the butter and brushing it on, I just put it in the pan toward the end of the cooking time and let the butter get on both sides."" ""My family absolutely loved this dish,"" says Mikarhine. ""I added paprika, cayenne, and Parmesan cheese to the flour and it was simply amazing. This will be a regular dish in our home. So fast and so simple, can't go wrong."" Editorial contributions by Corey Williams ","['4 (4 ounce) tilapia fillets', 'salt and ground black pepper to taste', '½ cup all-purpose flour', '1 tablespoon olive oil', '2 tablespoons unsalted butter, melted', '1 tablespoon lemon juice, or to taste (Optional)', '1 teaspoon chopped fresh flat-leaf parsley, or to taste (Optional)', '½ teaspoon chopped fresh thyme, or to taste (Optional)']","['Rinse tilapia fillets in cold water and pat dry with paper towels. Season both sides of each fillet with salt and pepper.', 'Place flour in a shallow dish. Gently press each fillet into the flour to coat and shake off any excess.', 'Heat olive oil in a large skillet over medium-high heat. Cook tilapia fillets in the hot oil, in batches if necessary, until fish flakes easily with a fork, about 4 minutes per side.', 'Brush the melted butter onto the tilapia fillets in the last minute before removing from the skillet.', 'Drizzle fillets with lemon juice and garnish with parsley and thyme.']",5-ingredient-main-dishes,,,,
2,Easy Baked Chicken Thighs,4.2,(194),135,5 mins,30 mins,35 mins,4,,,"['4  chicken thighs', '4 teaspoons garlic powder', '4 teaspoons onion flakes']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Place chicken thighs in a baking dish; season both sides with garlic powder and onion flakes.', 'Bake in the preheated oven until no longer pink at the bone and juices run clear, about 30 minutes. An instant-read thermometer inserted into thickest part of thigh, near the bone, should read 165 degrees F (74 degrees C).']",5-ingredient-main-dishes,,,,
3,Chicken Cordon Bleu,4.6,"(2,668)","1,849",10 mins,35 mins,45 mins,4,4 servings,"Don't feel like going out tonight? You can easily make a gourmet restaurant-worthy meal in the comfort of your own kitchen with this top-rated chicken cordon bleu recipe. It's impressive, delicious, and way simpler than you think. A cordon bleu is a dish that traditionally consists of meat wrapped around cheese, then breaded and pan-fried or deep-fried. Many modern versions of the classic French recipe, such as this one, are baked. Classic chicken cordon bleu is made with the following ingredients: chicken cutlets, cooked ham, Swiss cheese, bread crumbs, and simple spices. It's usually topped with a rich cream sauce spiked with a hint of Dijon mustard. ""Cordon bleu"" translates to ""blue ribbon."" According to Larousse Gastronomique, a French food encyclopedia, the phrase dates back to medieval times when the most prestigious order a knight could earn was called the Cross of the Holy Spirit. The honor was signified by a medal that hung from a blue ribbon known as Le Cordon Bleu. Over time, the blue ribbon became a symbol of excellence. The term, meanwhile, became associated with food that meets the highest of standards or that is prepared by the most prestigious chefs. There are many ways to make chicken cordon bleu, from the traditional French method to the simple oven-baked one detailed here. You'll find the full recipe below, but here's a brief overview of what you can expect: Cover the chicken cutlets with plastic wrap and pound them with a mallet to create thin, even pieces. Thoroughly season the chicken with salt and pepper. Top each piece of chicken with one slice of Swiss cheese and one slice of ham. Roll the chicken vertically so that the ham and cheese are contained. Secure each roll with a toothpick. Arrange the chicken rolls in a prepared baking dish. Sprinkle liberally and evenly with breadcrumbs. Bake until the chicken is no longer pink, top each roll with half a slice of Swiss, and continue baking until the cheese is melted. This recipe should be fully cooked after 30-35 minutes in an oven preheated to 350 degrees F. However, every oven is different — the chicken should no longer be pink and an instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Chicken cordon bleu is traditionally topped with a decadent cream sauce made with Parmesan cheese and Dijon mustard — you can improvise your own recipe or try spiking our top-rated Alfredo Sauce with a hint of Dijon. Looking for some side dish inspiration? We've got you covered. Try one of these delicious ideas: Mascarpone Mashed PotatoesEasy Garden Green BeansGourmet Mushroom RisottoSteamed BroccoliPommes Anna with GruyereClassic Restaurant Caesar Salad Store your chicken cordon bleu leftovers in an airtight container in the fridge for three to four days. Reheat in the oven instead of the microwave to avoid sogginess. About 10 minutes at 350 degrees F should do the trick. To freeze chicken cordon bleu, simply arrange the completely-cooled rolls on a lined baking sheet, cover, and freeze for about two hours. Transfer the now-frozen rolls to an airtight freezer bag labeled with the date. Freeze for up to four months. To thaw frozen chicken cordon bleu, transfer the container to the fridge the night before you plan to serve it. Bake the thawed rolls for about 10 minutes at 350 degrees F. ""What a wonderful recipe,"" raves Pj kearns. ""Simple and delicious! I did use a little olive oil to roll the chicken in after it was constructed and then lightly breaded them. Works out perfectly!"" ""This recipe was the first I have cooked for my family, and they just would not stop complimenting me on it,"" says one Allrecipes community member. ""Not yet being an experienced cook, I didn't add any gimmicks or tricks of my own, and I found that I didn't need to. A great, easy recipe!"" ""Love this recipe,"" says LILYFIRE41. ""My husband declared that this was one of his favorite things I've ever made, and he stressed what a big deal that was! Great recipe to use up leftover ham. I made it with the sauce that other members recommended (cream of chicken, lemon juice & sour cream)."" Editorial contributions be Corey Williams ","['nonstick cooking spray', '4  skinless, boneless chicken breast halves', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '6 slices Swiss cheese', '4 slices cooked ham', '½ cup seasoned bread crumbs']","['Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11-inch baking dish with nonstick cooking spray.', 'Pound chicken breasts to 1/4 inch thickness.', 'Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 Swiss cheese slice and 1 ham slice on top of each breast. Roll up each breast, and secure with a toothpick. Place in the prepared baking dish, and sprinkle chicken evenly with bread crumbs.', 'Bake in the preheated oven until chicken is no longer pink, 30 to 35 minutes.', 'Remove from the oven, and place 1/2 Swiss cheese slice on top of each breast. Return to the oven until cheese has melted, 3 to 5 minutes. Remove toothpicks and serve immediately.']",5-ingredient-main-dishes,,,,
4,Fluffy Microwave Scrambled Eggs,4.7,(60),58,5 mins,5 mins,10 mins,2,2 servings,"Your microwave is the key to irresistibly fluffy scrambled eggs that are ready in mere minutes. Don't believe us? Just try this top-rated recipe for microwave eggs. Of course! We wouldn't be here if you couldn't. This microwave method is hands-off (compared to the traditional stovetop method) and comes together in just a few minutes with three ingredients. What more could you ask for in a shortcut recipe? There are plenty of ways to cook eggs in the microwave, but this method for scrambled eggs is perhaps our favorite. You'll find the full recipe below, but here's a brief overview of what you can expect: Crack the eggs into a microwave-safe bowl or mug, then mix well with milk and salt. Heat the eggs in the microwave for about 30 seconds, remove and beat well, then return to the microwave for another 30 seconds. Repeat until eggs are fully cooked and scrambled. Every microwave is different. The process could take anywhere from 1 minute to 2.5 minutes. Just be sure to microwave in 30-second intervals and to beat the eggs between every interval – this way, the eggs will scramble evenly and won't be overcooked. We think this three-ingredient recipe is perfect as it is. But, if you want to dress them up a bit, try one (or more) of these tasty mix-ins: CheeseStir in some shredded Cheddar or Monterey Jack for a cheesy twist. Ham or BaconDiced ham or chopped bacon makes this hearty recipe even more filling. VeggiesDiced bell peppers, onions, and spinach add color and flavor. To turn up the heat, try jalapeños. HerbsFresh herbs – such as basil, rosemary, oregano, and thyme – lend bright, earthy flavor. For a classic breakfast, try pairing these microwave scrambled eggs with Basic Biscuits and Oven-Baked Bacon. You could also make a satisfying Scrambled Egg Sandwich or Breakfast Burrito. With this recipe, it's easy to keep it basic or get as creative as you want. The world is your oyster! ""I think this is an extremely handy technique for saving some dollars when you don't have a kitchen to cook in,"" says Christina De Jess Villanueva. ""I made some scrambled eggs, toast and had a simple sandwich. Bonus points for adding toppings if you have them, I just didn't. Thanks for sharing!"" ""The constant stirring solves the rubbery eggs problem you normally get from microwaving,"" according to Tracy Gravel. ""Our kitchen is torn apart and we were hungry for a hot breakfast this morning,"" says PAMimi. ""Made these scrambled eggs and heated pre-cooked sausages at the same time. Had fresh fruit as a side. Excellent breakfast."" Editorial contributions by Corey Williams ","['4  eggs', '¼ cup milk', '⅛ teaspoon salt']","['Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well.', 'Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds. Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.']",5-ingredient-main-dishes,,,,
5,Turkey in a Bag,4.8,(271),229,15 mins,3 hrs,3 hrs 15 mins,12,,"Cook your turkey in a bag for a tender, juicy, and flavorful holiday dinner. This method yields perfect results every time and makes cleanup a breeze. Cooking turkey in a bag keeps the bird juicy by trapping in the moisture. It also speeds up the cooking time by trapping in the heat. Plus, you won't have to scrub the roasting pan – when you're done, just throw the bag out. Here's what you'll need to make this top-rated turkey in a bag: · Turkey: This recipe calls for a whole 12-pound turkey. If your bird is larger or smaller, you'll need to adjust your cooking time.· Seasonings: The turkey is simply seasoned with just salt and pepper, which allows the natural flavors to shine.· Flour: Two tablespoons of flour keep the bag from bursting and help with browning.· Vegetables: The turkey is roasted alongside onions and celery. For an extra pop of color, add carrots.· Turkey Bag: You should be able to find turkey-sized oven bags at your local grocery store, likely in the aluminum foil and plastic wrap aisle. You'll find the full, step-by-step recipe below – but here's a brief overview of what you can expect when you roast this turkey in a bag: 1. Prepare the Turkey: Remove and discard the giblets, pat the turkey dry, and season with salt and pepper.2. Pack the Bag: Sprinkle the bottom of the bag with flour. Place the turkey in the bag along with cut celery and onions. Seal the bag, transfer to a roasting pan, and use a fork to poke several holes in the bag.3. Roast the Turkey: Bake in a preheated oven until the juices run clear. An instant-read thermometer inserted into the thigh meat should read 180 degrees F. A 12-pound turkey should be fully cooked (using this bag method) after about 3 to 3.5 hours in a 350 degrees F oven. Here at Allrecipes, we know a thing or two about cooking the perfect Thanksgiving feast — that's why we've made it our mission to answer your most burning turkey questions. Check out some of our best turkey tips, tricks, and guides from over the years: · How to Brine a Turkey· 3 Ways to Safely Thaw a Frozen Turkey· How Much Turkey Per Person Do You Need?· How to Truss a Turkey the Easy Way· How to Smoke a Turkey· How to Carve a Turkey the Easy Way Explore our entire collection of Thanksgiving Tips and Tricks. ""Turkey in a bag, where have you been all my life??"" asks chiquitabanana. ""Cooked the turkey breast-side-down as a few people recommended. Followed the recipe and it worked like a charm! This is our new holiday standard!"" ""I'm a beginner cook and this recipe was so easy for me,"" says Candice Schmidt. ""I cooked this for my family's Christmas get together and it came out perfect. I did add carrots and a couple apples, but other than that I did everything the same and it came out perfect."" ""PERFECT,"" raves BABBYLEE. ""Tender, juicy, and easy! I will be making ALL of my future turkeys this way. Planned for the rest of the food to be done sooner, as my turkey was done in less time."" Editorial contributions by Corey Williams ","['1 (12 pound) whole turkey', 'salt and ground black pepper to taste', '2 tablespoons all-purpose flour', '5 stalks celery, cut into 1-inch pieces', '2 large onions, quartered', '1  large turkey bag']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Remove and discard giblets. Rinse turkey and pat dry; season with salt and pepper.', 'Sprinkle the bottom of the turkey bag with flour; place turkey in the bag and add celery and onions. Seal the bag and transfer into a roasting pan; poke several holes in the bag with a fork.', 'Bake in the preheated oven until turkey is cooked and the juices run clear, about 3 to 3 1/2 hours. An instant-read thermometer inserted into the thigh meat should read 180 degrees F (85 degrees C).']",5-ingredient-main-dishes,,,,
6,Buttered Noodles,4.6,(123),96,5 mins,15 mins,20 mins,8,,"You may be wondering: ""Do I really need a recipe for buttered noodles?"" The answer, of course, is yes. This kid-friendly recipe results in perfect noodles tossed in exactly the right amount of butter. Once you try these four-ingredient buttered noodles, you'll never go back to your old method again. Believe it or not, you can make this incredibly simple dish with just four ingredients: NoodlesThis recipe calls for fettuccine noodles, but you could use any noodles you have on hand, from penne to spaghetti. ButterYou can use salted or unsalted butter. Since you'll add more salt at the end, you might want to opt for unsalted (depending on your taste, of course). ParmesanGrated Parmesan cheese takes this dish up a notch. Buttered noodles don't technically require cheese, so you can leave it out if you want. Salt and PepperFinish off this easy buttered noodles recipe with salt and ground black pepper. It really couldn't be simpler to make buttered noodles at home. You'll find the full recipe below, but here's a brief overview of what you can expect: Boil the fettuccine in lightly salted water until it's tender, yet still firm. Drain the pasta in a colander, then return it to the pot. Mix butter, cheese, salt, and pepper into the cooked noodles until all the ingredients are evenly combined. The beauty of buttered noodles? It can work as either a side dish or an entree. What you pair with it depends on how you're serving it. Basic buttered noodles make a great, carb-loaded side dish for hearty mains. In fact, it's a great substitute for mashed potatoes in almost any situation. For instance, try buttered noodles with one of these tasty ideas: Garlic ChickenEasy MeatloafQuinoa Black Bean Burgers Explore our entire collection of Main Dish Recipes. If you're planning to serve the buttered noodles as a main dish, try pairing it with one of these light sides: Roasted Garlic Lemon BroccoliClassic Restaurant Caesar SaladRoasted Vegetable Medley Explore our entire collection of Side Dish Recipes. You don't need to add anything to this buttered noodles recipe, especially if you want to keep things super simple. However, you could shake things up a bit with one (or more) of the following additions: Broccoli, asparagus, herbs (such as parsley or basil), shrimp, sausage, chicken, minced or powdered garlic, and crushed red pepper. Store your leftover buttered noodles in an airtight container in the fridge for up to five days. Reheat in the microwave or on the stove. ""Perfect side dish,"" raves Reginamarie. ""Always looking for recipes that can easily be made low sodium! I used unsalted butter and seasoned it with a little garlic powder and pepper! Hubby and I both loved it! Thanks for the recipe!"" ""Definitely would make them again,"" says Peggy. ""The grandchildren said they were the best noodles they ever had! They want them with every meal now! We all loved them!"" ""I was a bit hesitant because there were so few ingredients, but these noodles turned out really good,"" according to Lisa Noel Rodgers. ""I didn't need to add anything."" Editorial contributions by Corey Williams ","['1 (16 ounce) package fettuccine noodles', '6 tablespoons butter, cut into pieces', '⅓ cup grated Parmesan cheese', 'salt and ground black pepper to taste']","['Fill a large pot with lightly salted water and bring to a rolling boil. Stir in fettuccine, bring back to a boil, and cook pasta over medium heat until tender yet firm to the bite, 8 to 10 minutes. Drain and return pasta to pot.', 'Mix butter, Parmesan cheese, salt, and pepper into pasta until evenly combined.', 'Use 4 tablespoons butter for less saucy noodles.']",5-ingredient-main-dishes,,,,
7,Slow Cooker Baby Back Ribs,4.7,"(1,283)",951,10 mins,4 hrs 15 mins,4 hrs 25 mins,6,,,"['3 pounds baby back ribs, trimmed', 'salt and ground black pepper, to taste', '½ cup water', '½  onion, sliced', '1 clove garlic, minced', '1 (18 ounce) bottle barbeque sauce']","['Season ribs with salt and pepper.', 'Pour 1/2 cup water into the slow cooker, then add ribs. Scatter onion and garlic over top. Cover and cook on Low for 8 hours or High for 4 hours.', 'When the ribs are almost finished, preheat the oven to 375 degrees F (190 degrees C).', 'Transfer ribs from the slow cooker to a baking sheet; discard onion and garlic. Coat ribs with barbeque sauce.', 'Bake ribs in the preheated oven until sauce caramelizes and sticks to meat, 10 to 15 minutes.', 'Discover the best slow cookers to buy for making our favorite slow cooker recipes.']",5-ingredient-main-dishes,,,,
8,Foolproof Rib Roast,4.8,"(1,961)","1,635",5 mins,1 hrs 30 mins,4 hrs 45 mins,6,,"Impress everyone at your table with a wonderfully tender and juicy prime rib roast. The best part? Nobody will know just how easy it was to make. Even beginners will love this top-rated standing rib roast recipe. A standing rib roast, also known as a prime rib roast, is a cut of beef from the primal rib. It's called a standing rib roast because it's usually cooked ""standing"" on the bones (so that the meat doesn't touch the pan). Prime rib is generally considered a superior cut of beef: It's tender, juicy, and wonderfully flavorful. Though this rib roast recipe is incredibly impressive, it's surprisingly simple to make. You'll find the full, step-by-step recipe below — but here's a brief overview of what you can expect: Rub the room temperature roast with seasonings and place it on a rack in a roasting pan with the fatty side up and the rib side on the bottom. Roast in a preheated oven for an hour, then turn off the oven. Let the roast stand in the hot oven for about three hours without opening the door. Heat the oven again and let the roast continue to cook until it reaches an internal temperature of at least 145 degrees F. This rib roast is simply seasoned with salt, ground black pepper, and garlic powder. Of course, you can add more seasonings to taste (but make sure not to overpower the meat's natural flavor). This rib roast recipe should be done in a little under five hours, with about 90 minutes of actual cook time. You'll know the rib roast is done when an instant read thermometer inserted into the center reads at least 145 degrees F. Looking for crowd-pleasing side dish inspiration? We've got you covered. Peruse our entire collection of the 20 Best Side Dishes for Prime Rib. Or try one of these standout recipes: Gourmet Mushroom RisottoMascarpone Mashed PotatoesTruffled Cauliflower GratinOven-Roasted CarrotsFried Brussels Sprouts Plus, explore our entire library of Side Dish Recipes. Wrap leftover rib roast tightly in storage wrap and refrigerate for up to five days. Reheat in the oven, not the microwave, so the roast doesn't get rubbery. Learn more: The Right Way to Reheat for the Juiciest Prime Rib Yes, rib roast freezes well. Allow the roast to cool, cut it into the portions you'd like to freeze, and wrap them individually in freezer wrap. Follow it up with a layer of foil for added protection. Place the wrapped rib roast into an airtight freezer bag and freeze for up to 9 months. Thaw in the fridge overnight and reheat in the oven. ""This is by far the BEST recipe I've ever used for rib roast,"" raves NAUTICOLE. ""It doesn't matter what size roast you have, just follow these cooking instructions. I was very skeptical, but this was soooo tender and delicious. I'll only cook rib roast this way in the future."" ""Just sat down from cleaning up after our outstanding feast,"" says Mary Kay Davignon. ""I've made prime rib before, always struggling to not overcook and ruin such an expensive cut of meat. This recipe has solved that problem. I followed the cooking instructions to the letter and produced a perfectly cooked, medium rare, tender prime rib."" ""The high ratings on this recipe are more for the cooking technique than the actual four ingredients,"" according to Debbie22. "" You can play with the spice mix however you want — I doubled the garlic powder and added Montreal Steak seasoning and rosemary. It came out absolutely perfectly."" Editorial contributions by Corey Williams ","['1 (5 pound) beef standing rib roast, at room-temperature (let sit out for 1 hour before starting recipe)', '2 teaspoons salt', '1 teaspoon ground black pepper', '1 teaspoon garlic powder']","['Preheat the oven to 375 degrees F (190 degrees C). Place a rack in a roasting pan.', 'Combine salt, pepper, and garlic powder in a small cup.', 'Place room-temperature roast on the rack in the roasting pan with the fatty side up and the rib side on the bottom. Rub the seasoning onto the roast.', 'Roast for 1 hour in the preheated oven. Turn the oven off and leave the roast inside for 3 hours, without opening the door.', 'Turn the oven back on to 375 degrees F (190 degrees C) and reheat the roast for 30 to 40 minutes. The internal temperature should be at least 145 degrees F (62 degrees C).', 'Remove from the oven and let rest for 10 minutes before carving.', 'To ensure your rib roast cooks properly, it must be at room temperature. Remove it from the refrigerator 1 hour before starting this recipe.']",5-ingredient-main-dishes,3 hrs 10 mins,,,
9,The Perfect Basic Burger,4.4,(225),162,5 mins,15 mins,20 mins,4,4 burgers patties,"Need a basic burger recipe that you can whip up in no time? We have the perfect one. With just 5 ingredients and 15 minutes of cooking time, this flavorful recipe is ready to be shared, topped, and sauced in any way you like! Learn how to make your own sizzling beef burger patties right here. Nothing says summer quite like a juicy grilled burger. You'll find the full recipe below with step-by-step instructions, but here's what you can expect when you make these top-rated burger patties: Begin by whisking the egg, salt, and pepper together in a large bowl. Then, add the ground beef and bread crumbs before forming the mixture into ¾-inch patties. Place the patties on a preheated grill and cook for six to eight minutes per side. Make sure the beef's temperature reads at least 160 degrees F before serving, and you're ready to go. Top with classic condiments like mustard, ketchup, and mayo for full-fledged flavor. Cooked beef burgers can be safely refrigerated for three to four days. Make sure to promptly chill after cooking in an airtight container to lengthen shelf life. Yes, you can freeze cooked burger patties for up to four months. Wrap the burgers in foil individually to discourage sticking before labeling and placing them in a freezer-safe bag. ""We've made these a few times now and the kids love it every time,"" shares home cook Christel K. ""Despite the basic ingredients list it's an absolutely delicious burger, especially when dressed up with some toppings! We add spinach, old cheddar cheese, onions, pickles, plus mustard and mayo."" ""Followed the recipe closely — good hamburgers,"" says dwolk. ""One note of which to be aware: The recipe calls for 6-8 minutes a side! My ordinary outdoor propane three-burner grill: 3-4 a side and more than medium-rare."" ""Pretty respectable burger, says reviewer berrymoore. ""I think I'll add a little onion powder next time to add a little more depth to the flavor."" Editorial contributions by Rai Mincey ","['1 large egg', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 pound ground beef', '½ cup fine dry bread crumbs']","['Preheat an outdoor grill for high heat and lightly oil grate.', 'Whisk together egg, salt, and pepper in a medium bowl. Add ground beef and bread crumbs and mix with your hands or a fork until well blended. Form into four 3/4-inch-thick patties.', 'Place patties on the preheated grill. Cover and cook 6 to 8 minutes per side, or to desired doneness. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).']",5-ingredient-main-dishes,,,,
