,recipe_title,star_rating,rating_count,review_count,prep_time,cook_time,total_time,servings,writeup,ingr,steps,category,number_of_steps,average_step_len
0,World's Best Honey Garlic Pork Chops,4.4,645.0,475.0,10.0,15.0,25.0,6.0,3602,5,"Preheat grill for medium heat and lightly oil the grate., Whisk ketchup, honey, soy sauce, and garlic together in a bowl to make a glaze., Sear the pork chops on both sides on the preheated grill. Lightly brush glaze onto each side of the chops as they cook; grill until no longer pink in the center, about 7 to 9 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).",5-ingredient-main-dishes,3,141.33333333333334
1,Pan-Seared Tilapia,4.7,789.0,560.0,5.0,10.0,15.0,4.0,2580,8,"Rinse tilapia fillets in cold water and pat dry with paper towels. Season both sides of each fillet with salt and pepper., Place flour in a shallow dish. Gently press each fillet into the flour to coat and shake off any excess., Heat olive oil in a large skillet over medium-high heat. Cook tilapia fillets in the hot oil, in batches if necessary, until fish flakes easily with a fork, about 4 minutes per side., Brush the melted butter onto the tilapia fillets in the last minute before removing from the skillet., Drizzle fillets with lemon juice and garnish with parsley and thyme.",5-ingredient-main-dishes,5,116.0
2,Easy Baked Chicken Thighs,4.2,194.0,135.0,5.0,30.0,35.0,4.0,0,3,"Preheat the oven to 375 degrees F (190 degrees C)., Place chicken thighs in a baking dish; season both sides with garlic powder and onion flakes., Bake in the preheated oven until no longer pink at the bone and juices run clear, about 30 minutes. An instant-read thermometer inserted into thickest part of thigh, near the bone, should read 165 degrees F (74 degrees C).",5-ingredient-main-dishes,3,122.33333333333333
3,Chicken Cordon Bleu,4.6,2668.0,1849.0,10.0,35.0,45.0,4.0,4173,7,"Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11-inch baking dish with nonstick cooking spray., Pound chicken breasts to 1/4 inch thickness., Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 Swiss cheese slice and 1 ham slice on top of each breast. Roll up each breast, and secure with a toothpick. Place in the prepared baking dish, and sprinkle chicken evenly with bread crumbs., Bake in the preheated oven until chicken is no longer pink, 30 to 35 minutes., Remove from the oven, and place 1/2 Swiss cheese slice on top of each breast. Return to the oven until cheese has melted, 3 to 5 minutes. Remove toothpicks and serve immediately.",5-ingredient-main-dishes,5,134.2
4,Fluffy Microwave Scrambled Eggs,4.7,60.0,58.0,5.0,5.0,10.0,2.0,2589,3,"Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well., Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds. Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.",5-ingredient-main-dishes,2,196.5
5,Turkey in a Bag,4.8,271.0,229.0,15.0,3.0,195.0,12.0,2993,6,"Preheat the oven to 350 degrees F (175 degrees C)., Remove and discard giblets. Rinse turkey and pat dry; season with salt and pepper., Sprinkle the bottom of the turkey bag with flour; place turkey in the bag and add celery and onions. Seal the bag and transfer into a roasting pan; poke several holes in the bag with a fork., Bake in the preheated oven until turkey is cooked and the juices run clear, about 3 to 3 1/2 hours. An instant-read thermometer inserted into the thigh meat should read 180 degrees F (85 degrees C).",5-ingredient-main-dishes,4,130.75
6,Buttered Noodles,4.6,123.0,96.0,5.0,15.0,20.0,8.0,3105,4,"Fill a large pot with lightly salted water and bring to a rolling boil. Stir in fettuccine, bring back to a boil, and cook pasta over medium heat until tender yet firm to the bite, 8 to 10 minutes. Drain and return pasta to pot., Mix butter, Parmesan cheese, salt, and pepper into pasta until evenly combined., Use 4 tablespoons butter for less saucy noodles.",5-ingredient-main-dishes,3,119.0
7,Slow Cooker Baby Back Ribs,4.7,1283.0,951.0,10.0,255.0,265.0,6.0,0,6,"Season ribs with salt and pepper., Pour 1/2 cup water into the slow cooker, then add ribs. Scatter onion and garlic over top. Cover and cook on Low for 8 hours or High for 4 hours., When the ribs are almost finished, preheat the oven to 375 degrees F (190 degrees C)., Transfer ribs from the slow cooker to a baking sheet; discard onion and garlic. Coat ribs with barbeque sauce., Bake ribs in the preheated oven until sauce caramelizes and sticks to meat, 10 to 15 minutes., Discover the best slow cookers to buy for making our favorite slow cooker recipes.",5-ingredient-main-dishes,6,92.16666666666667
8,Foolproof Rib Roast,4.8,1961.0,1635.0,5.0,90.0,285.0,6.0,3439,4,"Preheat the oven to 375 degrees F (190 degrees C). Place a rack in a roasting pan., Combine salt, pepper, and garlic powder in a small cup., Place room-temperature roast on the rack in the roasting pan with the fatty side up and the rib side on the bottom. Rub the seasoning onto the roast., Roast for 1 hour in the preheated oven. Turn the oven off and leave the roast inside for 3 hours, without opening the door., Turn the oven back on to 375 degrees F (190 degrees C) and reheat the roast for 30 to 40 minutes. The internal temperature should be at least 145 degrees F (62 degrees C)., Remove from the oven and let rest for 10 minutes before carving., To ensure your rib roast cooks properly, it must be at room temperature. Remove it from the refrigerator 1 hour before starting this recipe.",5-ingredient-main-dishes,7,112.85714285714286
9,The Perfect Basic Burger,4.4,225.0,162.0,5.0,15.0,20.0,4.0,1967,5,"Preheat an outdoor grill for high heat and lightly oil grate., Whisk together egg, salt, and pepper in a medium bowl. Add ground beef and bread crumbs and mix with your hands or a fork until well blended. Form into four 3/4-inch-thick patties., Place patties on the preheated grill. Cover and cook 6 to 8 minutes per side, or to desired doneness. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).",5-ingredient-main-dishes,3,149.33333333333334
